client_id,path,sentence_id,sentence,sentence_domain,up_votes,down_votes,age,gender,accents,variant,locale,segment
a7c444851738561bca94dc9f8525b2819433137309fe955eb1b152830a97b9bac87733d057483d1d20f53e152050504538c27422b29d7843997f3a256324c582,common_voice_kk_25029256.wav,231d16c9f2469275d746b5807560d328feff4b8f77a39a4a3af5be77656b342f,"Сауынсыздың жазы болмайды, қауынсыздың күзі болмайды.",,2,0,,,,,kk,
a7c444851738561bca94dc9f8525b2819433137309fe955eb1b152830a97b9bac87733d057483d1d20f53e152050504538c27422b29d7843997f3a256324c582,common_voice_kk_25029257.wav,31a66442a2a62fff3ebb5061605da3d215ffed77119e8072c72b21a2d5b2ebea,"Білмеген жердің ой-шұқыры көп, көрінген таудың алыстығы жоқ.",,2,0,,,,,kk,
a7c444851738561bca94dc9f8525b2819433137309fe955eb1b152830a97b9bac87733d057483d1d20f53e152050504538c27422b29d7843997f3a256324c582,common_voice_kk_25029258.wav,240d4e442b909495467de476df86ab5eccca375aaf7944cc6576974aace385c2,"Ата тұрып, ұл сөйлегеннен без, ана тұрып, қыз сөйлегеннен без.",,2,0,,,,,kk,
a7c444851738561bca94dc9f8525b2819433137309fe955eb1b152830a97b9bac87733d057483d1d20f53e152050504538c27422b29d7843997f3a256324c582,common_voice_kk_25029265.wav,2fc954c14e6cd770e16ea0d8ece1d165c3086f942d2739bfd22f6fe7b2511ff6,"Менмен — жігіттің соры, төменшек — жігіттің қоры.",,2,0,,,,,kk,
a7c444851738561bca94dc9f8525b2819433137309fe955eb1b152830a97b9bac87733d057483d1d20f53e152050504538c27422b29d7843997f3a256324c582,common_voice_kk_25029266.wav,0711621c7cc30e088f212c6d8a81150e7d758f2d15125224d1c1671c6fb9fa2c,Ақылдының ақылы сарқылмайтын көлмен тең.,,2,0,,,,,kk,
a7c444851738561bca94dc9f8525b2819433137309fe955eb1b152830a97b9bac87733d057483d1d20f53e152050504538c27422b29d7843997f3a256324c582,common_voice_kk_25029273.wav,33171f7f988793ccfba40faebb6de068b1a005c275112b94181eba25e0c9175f,Жақсы жігіттің арын сақта.,,2,0,,,,,kk,
a7c444851738561bca94dc9f8525b2819433137309fe955eb1b152830a97b9bac87733d057483d1d20f53e152050504538c27422b29d7843997f3a256324c582,common_voice_kk_25029275.wav,3309e26cea5bebafdd800bcb6efb0b4a802c34e6a1f7061c1cb0126487d7a759,"Қызмет қыл да, міндет қыл.",,2,0,,,,,kk,
a7c444851738561bca94dc9f8525b2819433137309fe955eb1b152830a97b9bac87733d057483d1d20f53e152050504538c27422b29d7843997f3a256324c582,common_voice_kk_25029278.wav,0fc4ad1d85a995e6e473fd7200faace53e2a4e75e604e914594904c6fe13c271,"Тойшыл жігіт ойшыл болмас, ойшыл жігіт тойшыл болмас.",,2,0,,,,,kk,
a7c444851738561bca94dc9f8525b2819433137309fe955eb1b152830a97b9bac87733d057483d1d20f53e152050504538c27422b29d7843997f3a256324c582,common_voice_kk_25029296.wav,0d9cd67381baf7b7d667064f3555e9658cd20bf5218ae5983d538a96e508ca3b,"Қасықтап алғанмен, көл таусылмайды, қанша ұры алғанмен, ел таусылмайды.",,2,0,teens,male_masculine,,,kk,
a7c444851738561bca94dc9f8525b2819433137309fe955eb1b152830a97b9bac87733d057483d1d20f53e152050504538c27422b29d7843997f3a256324c582,common_voice_kk_25029297.wav,2401961dd8ede53258680ca4851a7ca5542efcab5f533e1d934258c242310db5,"Жаңа дос келгенде, ескі достың көзінен жас шығады.",,2,0,teens,male_masculine,,,kk,
a7c444851738561bca94dc9f8525b2819433137309fe955eb1b152830a97b9bac87733d057483d1d20f53e152050504538c27422b29d7843997f3a256324c582,common_voice_kk_25029298.wav,20b0a19fe8fed906c526c9ac95b0579a332c2c19210cbca33be9ef2fac56d9f9,Атсыздың атасы құнсыз кетеді.,,2,0,teens,male_masculine,,,kk,
